Date,Ball1,Ball2,Ball3,Ball4,Ball5,Star1,Star2
1424736000,3,25,28,34,50,1,11
1424390400,4,10,14,37,46,4,7
1424131200,2,5,18,30,43,1,10
1423785600,12,24,39,42,44,3,11
1423526400,13,17,20,30,45,9,10
1423180800,10,26,30,39,50,7,8
1422921600,17,31,33,44,50,7,11
1422576000,9,13,15,19,24,3,8
1422316800,5,10,31,33,40,8,10
1421971200,6,29,30,38,45,1,8
1421712000,15,33,41,44,47,8,10
1421366400,29,30,32,34,46,3,6
1421107200,8,17,21,31,34,9,10
1420761600,6,21,24,32,45,1,11
1420502400,14,20,30,38,49,3,4
1420156800,22,24,25,28,49,3,6
1419897600,6,18,39,44,50,8,11
1419552000,17,26,27,45,49,2,3
1419292800,8,9,19,25,49,2,10
1418947200,23,29,31,39,44,5,8
1418688000,3,7,12,13,25,5,8
1418342400,2,15,28,31,37,4,6
1418083200,1,3,31,42,46,4,11
1417737600,5,8,37,47,48,2,3
1417478400,3,15,25,44,49,1,9
1417132800,6,10,15,23,41,4,10
1416873600,3,7,25,32,36,1,6
1416528000,4,7,28,32,37,5,10
1416268800,2,3,17,36,38,4,11
1415923200,17,32,36,38,48,5,8
1415664000,2,14,21,36,46,7,11
1415318400,13,25,32,38,46,1,10
1415059200,1,6,13,17,26,3,5
1414713600,10,13,20,33,41,3,9
1414454400,10,15,17,40,45,1,2
1414105200,3,9,20,30,42,1,6
1413846000,20,21,27,33,40,3,10
1413500400,1,13,40,48,49,8,10
1413241200,4,5,15,23,32,3,7
1412895600,6,29,42,45,47,9,10
1412636400,9,21,28,30,38,1,8
1412290800,4,13,23,48,50,5,10
1412031600,3,13,15,33,42,5,7
1411686000,13,27,35,46,47,1,2
1411426800,12,13,14,29,35,1,7
1411081200,6,8,34,38,48,3,9
1410822000,4,29,30,35,50,2,4
1410476400,9,13,26,31,33,7,11
1410217200,8,15,19,24,35,8,10
1409871600,1,18,23,46,50,3,9
1409612400,5,25,31,39,45,1,8
1409266800,2,9,26,32,38,3,6
1409007600,10,22,36,45,48,4,11
1408662000,4,17,29,35,49,1,2
1408402800,4,7,11,34,47,7,8
1408057200,4,5,21,23,30,8,10
1407798000,7,16,19,22,33,2,5
1407452400,21,29,35,43,46,1,9
1407193200,5,7,19,21,42,5,11
1406847600,24,44,46,48,50,5,10
1406588400,10,23,35,40,43,3,9
1406242800,9,10,12,24,43,5,9
1405983600,1,24,43,45,50,5,8
1405638000,1,11,29,41,43,3,11
1405378800,15,18,20,27,34,1,3
1405033200,5,22,35,38,49,4,7
1404774000,8,18,22,24,27,4,11
1404428400,4,18,39,43,47,2,6
1404169200,18,22,25,27,39,5,10
1403823600,31,33,34,39,45,2,10
1403564400,1,7,20,21,48,4,7
1403218800,5,15,25,38,49,1,2
1402959600,11,13,37,40,48,8,9
1402614000,16,18,22,28,46,9,11
1402354800,12,18,21,32,33,1,11
1402009200,7,25,34,40,49,9,11
1401750000,2,15,32,39,44,5,10
1401404400,5,24,27,41,45,6,7
1401145200,7,13,16,25,26,1,6
1400799600,3,8,31,34,47,9,11
1400540400,5,33,36,38,47,4,9
1400194800,23,26,29,37,40,3,4
1399935600,4,13,30,34,47,2,6
1399590000,3,21,26,28,45,7,10
1399330800,5,19,24,31,37,1,9
1398985200,4,30,31,38,42,2,11
1398726000,18,23,26,35,44,3,11
1398380400,13,21,24,44,49,1,9
1398121200,13,15,20,24,46,1,8
1397775600,21,24,31,39,47,3,7
1397516400,3,14,26,47,50,7,11
1397170800,8,12,19,30,33,4,11
1396911600,11,18,29,42,49,4,11
1396566000,6,10,28,45,50,10,11
1396306800,16,18,26,38,44,8,10
1395964800,3,4,19,28,43,3,7
1395705600,7,20,26,28,50,2,8
1395360000,7,30,37,39,42,5,7
1395100800,8,27,34,36,39,5,10
1394755200,6,24,25,27,30,5,9
1394496000,1,4,23,33,44,7,8
1394150400,5,10,38,40,41,1,8
1393891200,3,5,22,27,44,1,6
1393545600,12,32,38,43,44,2,7
1393286400,21,25,28,35,42,4,6
1392940800,13,17,28,30,32,5,7
1392681600,23,26,36,37,49,6,7
1392336000,2,4,6,19,39,2,7
1392076800,8,17,25,41,47,1,2
1391731200,3,17,19,46,47,9,10
1391472000,1,21,33,37,38,4,8
1391126400,8,10,15,16,31,8,9
1390867200,18,20,23,42,48,2,9
1390521600,5,19,34,35,41,1,5
1390262400,4,12,35,42,48,5,8
1389916800,19,26,32,33,42,4,10
1389657600,18,20,25,26,37,10,11
1389312000,1,2,11,27,29,1,10
1389052800,2,20,27,33,45,6,10
